1017 Statistic "clientsCount":  279
┌─────────┬─────────┬───────────┬──────────┬──────────┐
│ (index) │   rss   │ heapTotal │ heapUsed │ external │
│   264   │  62.37  │  23.138   │  11.26   │  1.364   │
│   265   │ 62.362  │  23.138   │  11.528  │  1.364   │
│   266   │ 62.349  │  23.138   │  11.732  │  1.364   │
│   267   │ 62.366  │  23.138   │  11.996  │  1.368   │
│   268   │ 62.321  │  23.138   │  12.217  │  1.368   │
│   269   │ 62.341  │  23.138   │  12.476  │  1.368   │
│   270   │ 62.358  │  23.138   │  12.738  │  1.368   │
│   271   │ 62.431  │  23.138   │  13.064  │  1.368   │
│   272   │ 62.403  │  23.138   │  13.349  │  1.368   │
│   273   │ 62.353  │  23.138   │  13.55   │  1.368   │
│   274   │ 62.104  │  23.138   │  13.961  │  1.368   │
│   275   │ 61.977  │  23.138   │  14.766  │  1.368   │
│   276   │ 62.423  │  23.138   │  15.546  │  1.372   │
│   277   │ 62.517  │  23.138   │  16.119  │  1.372   │
│   278   │  59.74  │  20.779   │  8.606   │   1.36   │
│   279   │ 59.982  │  20.779   │  9.069   │   1.36   │
│   280   │ 60.207  │  20.779   │  9.575   │   1.36   │
│   281   │ 60.363  │  20.779   │  10.08   │   1.36   │
│   282   │ 59.699  │  20.779   │  9.796   │   1.36   │
│   283   │ 59.666  │  20.779   │  10.034  │   1.36   │
│   284   │ 59.687  │  20.779   │  10.262  │   1.36   │
│   285   │ 59.711  │  20.779   │  10.466  │   1.36   │
│   286   │ 59.716  │  20.779   │  10.732  │   1.36   │
│   287   │ 59.711  │  20.779   │  10.927  │   1.36   │
│   288   │ 59.736  │  20.779   │  11.141  │   1.36   │
│   289   │ 60.084  │  20.779   │  11.741  │   1.36   │
│   290   │ 60.236  │  20.779   │  12.197  │   1.36   │
│   291   │ 60.252  │  20.779   │  12.433  │  1.364   │
│   292   │  60.33  │  20.779   │  12.753  │  1.364   │
│   293   │ 59.654  │  20.779   │  12.334  │  1.364   │
│   294   │ 59.634  │  20.779   │   12.6   │  1.364   │
│   295   │ 59.621  │  20.779   │  12.787  │  1.364   │
│   296   │ 59.671  │  20.779   │  13.054  │  1.364   │
│   297   │ 59.732  │  20.779   │  13.314  │  1.364   │
│   298   │ 60.064  │  20.779   │  13.905  │  1.364   │
│   299   │ 60.236  │  20.779   │  14.34   │  1.364   │
│   300   │  60.33  │  20.779   │  14.739  │  1.364   │
│   301   │ 59.658  │  20.779   │  14.331  │  1.364   │
│   302   │ 59.666  │  20.779   │  14.612  │  1.364   │
│   303   │ 59.769  │  20.779   │  14.909  │  1.364   │
│   304   │ 60.101  │  20.779   │  15.491  │  1.364   │
│   305   │ 60.326  │  20.779   │  15.991  │  1.364   │
│   306   │ 59.617  │  20.779   │  15.598  │  1.368   │
│   307   │ 59.621  │  20.779   │  15.792  │  1.368   │
│   308   │ 59.707  │  20.779   │  16.088  │  1.368   │
│   309   │ 60.068  │  20.779   │  16.681  │  1.368   │
│   310   │ 60.301  │  20.779   │  17.276  │  1.368   │
│   311   │ 59.433  │  20.779   │  7.032   │   1.36   │
│   312   │  59.58  │  20.779   │  7.292   │   1.36   │
│   313   │ 59.691  │  20.779   │  7.566   │   1.36   │
│   314   │ 59.757  │  20.779   │  7.877   │   1.36   │
│   315   │ 60.154  │  20.779   │  8.525   │   1.36   │
│   316   │ 60.363  │  20.779   │  8.965   │   1.36   │
│   317   │ 59.691  │  20.779   │  8.569   │   1.36   │
│   318   │ 59.761  │  20.779   │  8.905   │   1.36   │
│   319   │  60.15  │  20.779   │  9.545   │   1.36   │
│   320   │ 60.387  │  20.779   │  10.042  │   1.36   │
│   321   │ 59.716  │  20.779   │  9.616   │   1.36   │
│   322   │  60.08  │  20.779   │  10.286  │  1.364   │
│   323   │ 60.371  │  20.779   │  10.847  │  1.364   │
│   324   │ 59.662  │  20.779   │  10.445  │  1.364   │
│   325   │ 59.757  │  20.779   │  10.738  │  1.364   │
│   326   │ 60.158  │  20.779   │  11.379  │  1.364   │
│   327   │ 60.404  │  20.779   │  11.892  │  1.364   │
│   328   │ 59.687  │  20.779   │  11.457  │  1.364   │
│   329   │ 59.793  │  20.779   │  11.795  │  1.364   │
│   330   │ 60.207  │  20.779   │  12.46   │  1.364   │
│   331   │ 59.638  │  20.779   │  12.15   │  1.364   │
│   332   │ 59.711  │  20.779   │  12.492  │  1.364   │
│   333   │ 60.191  │  20.779   │  13.171  │  1.364   │
│   334   │ 60.424  │  20.779   │  12.936  │  1.364   │
│   335   │ 59.703  │  20.779   │  13.233  │  1.364   │
│   336   │  60.17  │  20.779   │  13.927  │  1.364   │
│   337   │ 59.613  │  20.779   │  13.654  │  1.364   │
│   338   │ 59.785  │  20.779   │  14.086  │  1.368   │
│   339   │ 60.232  │  20.779   │  14.775  │  1.368   │
│   340   │ 59.609  │  20.779   │  14.455  │  1.368   │
│   341   │  59.72  │  20.779   │  14.806  │  1.368   │
│   342   │ 60.236  │  20.779   │  15.559  │  1.368   │
│   343   │ 59.695  │  20.779   │  15.325  │  1.368   │
│   344   │ 60.097  │  20.779   │  16.018  │  1.368   │
│   345   │ 58.733  │   19.73   │  7.351   │   1.36   │
│   346   │ 59.228  │   19.73   │  8.049   │   1.36   │
│   347   │ 58.667  │   19.73   │  7.813   │   1.36   │
│   348   │ 59.159  │   19.73   │  8.579   │   1.36   │
│   349   │ 58.647  │   19.73   │  8.376   │   1.36   │
│   350   │ 59.179  │   19.73   │  9.173   │   1.36   │
│   351   │ 58.671  │   19.73   │  8.986   │   1.36   │
│   352   │ 59.154  │   19.73   │  9.726   │   1.36   │
│   353   │ 58.647  │   19.73   │  9.503   │   1.36   │
│   354   │ 59.175  │   19.73   │  10.306  │  1.364   │
│   355   │ 58.663  │   19.73   │  10.093  │  1.364   │
│   356   │ 59.183  │   19.73   │  10.963  │  1.364   │
│   357   │ 58.577  │   19.73   │  10.528  │  1.364   │
│   358   │ 59.044  │   19.73   │  11.228  │  1.364   │
│   359   │ 58.663  │   19.73   │   11.2   │  1.364   │
│   360   │ 59.171  │   19.73   │  11.956  │  1.364   │
│   361   │ 58.806  │   19.73   │  12.877  │  1.364   │
│   362   │ 62.538  │  22.876   │  14.478  │  1.368   │
│   363   │ 62.591  │  26.022   │  12.44   │   1.36   │
